District,Block,Gram_Panchayat,Latitude,Longitude
AMBALA,AMBALA-I,Adho Majra,30.3843674,76.770421
AMBALA,AMBALA-I,Ahema,30.3843674,76.770421
AMBALA,AMBALA-I,Amipur,30.3843674,76.770421
AMBALA,AMBALA-I,Anandpur,30.3843674,76.770421
AMBALA,AMBALA-I,Babaheri,30.3843674,76.770421
AMBALA,AMBALA-I,Behbalpur,30.3843674,76.770421
AMBALA,AMBALA-I,Bhanpur-Nakatpur,30.3843674,76.770421
AMBALA,AMBALA-I,Baknaur,30.3843674,76.770421
AMBALA,AMBALA-I,Balana,30.3843674,76.770421
AMBALA,AMBALA-I,Balapur,30.3843674,76.770421
AMBALA,AMBALA-I,Bara,30.3843674,76.770421
AMBALA,AMBALA-I,Baroula,30.3843674,76.770421
AMBALA,AMBALA-I,Barouli,30.3843674,76.770421
AMBALA,AMBALA-I,Batrohan,30.3843674,76.770421
AMBALA,AMBALA-I,Bego Majra,30.3843674,76.770421
AMBALA,AMBALA-I,Bedsan,30.3843674,76.770421
AMBALA,AMBALA-I,Bhanokheri,30.3843674,76.770421
AMBALA,AMBALA-I,Bhari,30.3843674,76.770421
AMBALA,AMBALA-I,Bhunni,30.3843674,76.770421
AMBALA,AMBALA-I,Bhurangpur,30.3843674,76.770421
AMBALA,AMBALA-I,Bhure Majra,30.3843674,76.770421
AMBALA,AMBALA-I,Bishangarh,30.3843674,76.770421
AMBALA,AMBALA-I,Chhapra,30.3843674,76.770421
AMBALA,AMBALA-I,Chhota Baroula,30.3843674,76.770421
AMBALA,AMBALA-I,Dangerian,30.3843674,76.770421
AMBALA,AMBALA-I,Danipur,30.3843674,76.770421
AMBALA,AMBALA-I,Dhanoura,30.3843674,76.770421
AMBALA,AMBALA-I,Dhanouri,30.3843674,76.770421
AMBALA,AMBALA-I,Delu Majra,30.3843674,76.770421
AMBALA,AMBALA-I,Dhurkara,30.3843674,76.770421
AMBALA,AMBALA-I,Dhurala,30.3843674,76.770421
AMBALA,AMBALA-I,Dukheri,30.3843674,76.770421
AMBALA,AMBALA-I,Durana,30.3843674,76.770421
AMBALA,AMBALA-I,Farouli,30.3843674,76.770421
AMBALA,AMBALA-I,Fazailpur,30.3843674,76.770421
AMBALA,AMBALA-I,Gorsian,30.3843674,76.770421
AMBALA,AMBALA-I,Humayunpur,30.3843674,76.770421
AMBALA,AMBALA-I,Ismailpur,30.3843674,76.770421
AMBALA,AMBALA-I,Jagoli,30.3843674,76.770421
AMBALA,AMBALA-I,Jaitpura,30.3843674,76.770421
AMBALA,AMBALA-I,Jalalpur,30.3843674,76.770421
AMBALA,AMBALA-I,Jandheri,30.3843674,76.770421
AMBALA,AMBALA-I,Jansua,30.3843674,76.770421
AMBALA,AMBALA-I,Jansui,30.3843674,76.770421
